,Unnamed: 0,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended,Z
58,58,-68.5,287.5,32.36416434828139,54.86,0.0408718213920621,0.068754,0.1224716484918666,0.26636,441.5
59,59,-68.5,288.5,35.303434483077446,42.763,0.0461392070356633,0.051338,0.1349983582114285,0.21698,360.2401428222656
60,60,-68.5,289.5,43.235052931779705,10.52,0.0586995231132746,0.010605,0.1624403381307425,0.042305,579.4354858398438
61,61,-68.5,290.5,47.05149013352562,80.112,0.0664908394870777,0.11052,0.1899647195179262,0.45079,480.39678955078125
62,62,-68.5,291.5,49.609594214721234,90.999,0.0735988527036963,0.14777,0.2288156318992248,0.61529,357.4389953613281
63,63,-68.5,292.5,53.48380674015565,43.518,0.0810284645514893,0.057717,0.2524643776308435,0.24462,227.02273559570312
64,64,-67.5,0.5,23.253297576023847,36.207,0.0252513040643572,0.040414,0.1144653021894855,0.13734,4617.84765625
65,65,-67.5,144.5,68.92447620992594,93.436,0.0978161397477384,0.11976,0.3654549531122336,0.44894,295.91064453125
66,66,-67.5,284.5,17.54228436080593,33.001,0.0194660632322239,0.034664,0.0876866646043737,0.15866,3151.15576171875
67,67,-67.5,285.5,19.421199127207256,31.909,0.0214709343228751,0.033074,0.0872564799325263,0.15532,2559.236083984375
68,68,-67.5,286.5,21.17524292680414,46.06,0.024613457746075,0.052975,0.0917479355659549,0.22705,1020.9472045898438
69,69,-67.5,287.5,24.472331682022872,61.899,0.0305005091401799,0.075984,0.114857484280223,0.30287,393.39935302734375
70,70,-67.5,288.5,27.286843551243784,72.056,0.0354449579889861,0.092689,0.1354499167713864,0.35987,420.4029846191406
71,71,-67.5,289.5,32.003241189283244,93.796,0.0432592154016822,0.13867,0.1618114157594934,0.61457,601.9418334960938
72,72,-67.5,290.5,38.406376739069024,99.958,0.0548346542624292,0.15288,0.2069155157069142,0.67866,350.40643310546875
73,73,-67.5,291.5,43.16747688980197,91.898,0.062731696971462,0.14096,0.2301524341010016,0.6002,310.27508544921875
74,74,-67.5,292.5,49.961621283952496,56.044,0.0736842298874041,0.078805,0.2315718065586836,0.32044,229.15904235839844
75,75,-66.5,144.5,48.96032392352983,61.907,0.0597732671865471,0.077734,0.207637216781254,0.27819,509.1674499511719
76,76,-66.5,145.5,41.91257423546048,69.578,0.0493376407119504,0.085077,0.1698233449578458,0.30351,399.8907165527344
77,77,-66.5,286.5,15.830973504642444,31.16,0.0177933364497565,0.036241,0.0863696049455694,0.17231,3580.20654296875
78,78,-66.5,287.5,17.176133866071936,38.318,0.0193655814067641,0.044995,0.0884444887811562,0.18814,2810.51220703125
79,79,-66.5,288.5,19.098916881690545,41.691,0.0218005945585214,0.047844,0.0928322843825803,0.18615,1506.700927734375
80,80,-66.5,289.5,23.29306896776725,59.761,0.0276554023913777,0.075579,0.1076434770285668,0.31084,548.5523681640625
81,81,-66.5,290.5,32.82259222435559,48.242,0.0420163137171674,0.056106,0.1584847159064146,0.22106,413.320068359375
82,82,-66.5,291.5,41.64954586592607,65.193,0.0565146524431588,0.083034,0.2108822366577183,0.32283,407.8169250488281
83,83,-66.5,292.5,48.13929329292697,66.489,0.0695846589182139,0.078224,0.2481769639543743,0.2873,269.5757141113281
84,84,-66.5,293.5,58.44614851758431,49.482,0.0868303085108704,0.05327,0.2830298570986244,0.1895,206.6393585205078
85,85,-66.5,294.5,63.14943069090262,101.41,0.0909990096280038,0.18074,0.3137539409344566,0.72845,136.99017333984375
86,86,-65.5,140.5,23.41382542718521,26.85,0.0262049031088688,0.028428,0.1076989364831079,0.10859,1396.529541015625
87,87,-65.5,142.5,24.143960915173928,29.366,0.0269744613555779,0.031295,0.1094625901851498,0.11915,1827.8514404296875
88,88,-65.5,143.5,23.592720239964454,32.579,0.0262656172902515,0.032298,0.1095790219020689,0.12059,2072.615478515625
89,89,-65.5,144.5,22.729136616469248,22.167,0.0252322422719978,0.020705,0.109565949360024,0.11416,2377.942626953125
90,90,-65.5,288.5,13.92299502881008,37.351,0.0160502260769501,0.0444,0.0854133772269449,0.18961,3301.081298828125
91,91,-65.5,289.5,16.114298408094676,35.006,0.0184121948554531,0.037908,0.0901703377047407,0.16959,2617.279052734375
92,92,-65.5,290.5,20.25637299293133,39.803,0.0235717009379781,0.04745,0.1075461596267178,0.21583,1506.14501953125
93,93,-65.5,291.5,27.282788718268392,53.942,0.0333394329887391,0.065828,0.1470961986972678,0.24432,494.184326171875
94,94,-65.5,292.5,35.83340905199194,43.834,0.0459635134004551,0.050535,0.1960717489901048,0.20906,385.86041259765625
95,95,-65.5,293.5,46.08120844603647,52.81,0.0612061504265024,0.063194,0.2424563206490909,0.24157,367.68780517578125
96,96,-65.5,294.5,57.52277759208551,84.708,0.0758338879687233,0.12148,0.2704526682501694,0.45284,202.0006866455078
97,97,-65.5,295.5,68.82180472755763,102.87,0.0935204417677087,0.15544,0.3019175072833545,0.60379,205.22833251953125
98,98,-65.5,296.5,58.62024402002447,80.003,0.0769595860495231,0.099365,0.2881673122745458,0.36822,206.86175537109375
99,99,-64.5,139.5,18.314526063625937,19.383,0.0202820600231368,0.020998,0.1063288884109467,0.11024,3184.265380859375
100,100,-64.5,140.5,17.85694618932541,23.19,0.0198228160610412,0.02483,0.1063767372899103,0.1043,3236.7890625
101,101,-64.5,141.5,17.207306746416382,21.675,0.0191420525040568,0.023776,0.1062145748799334,0.13695,3354.979248046875
102,102,-64.5,290.5,13.334615229603877,32.658,0.0155257302362275,0.035068,0.0864823828723774,0.1556,3058.738525390625
103,103,-64.5,291.5,15.299562764288478,32.268,0.017675034623414,0.036569,0.0946058985500066,0.15403,2407.608154296875
104,104,-64.5,292.5,19.26935852246218,36.557,0.0224663695739488,0.0434,0.1162801254470405,0.17123,1407.40576171875
105,105,-64.5,293.5,27.825512979027803,19.33,0.0335655994481058,0.021713,0.1566728154189132,0.10472,655.8427124023438
106,106,-64.5,294.5,30.413685829571783,40.772,0.0366403181622129,0.045992,0.1710298264030708,0.19173,489.44073486328125
107,107,-64.5,295.5,39.158837510294624,61.031,0.0481767461768615,0.071147,0.2080107241451564,0.27047,374.06829833984375
108,108,-64.5,296.5,48.83888542061738,45.061,0.0616833033989319,0.046138,0.2471778634493855,0.16723,272.2944030761719
109,109,-64.5,297.5,58.23529205233114,36.916,0.0764337707505702,0.03688,0.2810739863656952,0.12882,231.70611572265625
110,110,-64.5,298.5,60.73882248190415,42.03,0.0798721636787242,0.043762,0.3122937142587719,0.17046,352.1787109375
111,111,-64.5,299.5,44.55009046418798,83.494,0.0593522011250014,0.12486,0.2856922586916827,0.4718,35.18144607543945
112,112,-64.5,303.5,37.78870807014288,44.517,0.0466670534511376,0.055186,0.210415186909906,0.19639,279.46978759765625
113,113,-64.5,359.5,17.42042484447825,25.447,0.0188281778346919,0.03024,0.1129018130379418,0.14165,4970.18310546875
