,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended
1918,31.5,192.5,40.81736598289413,27.187,0.03945740634804084,0.028307,0.2042380660412201,0.24079
1919,31.5,193.5,40.850100116115264,25.008,0.03952047257495506,0.026087,0.20375220826165155,0.24621
1920,31.5,196.5,40.94461188308943,29.252,0.039413569105580616,0.030657,0.19649017730119425,0.23309
1921,31.5,197.5,40.61498733121586,24.729,0.039068439504199075,0.025531,0.19627297041270278,0.21565
1922,31.5,199.5,40.3723903245015,27.41,0.03880961624681834,0.027833,0.19477636226432848,0.19348
1923,31.5,200.5,39.66864524755012,18.493,0.03811313218373094,0.01958,0.1931267806905828,0.15422
1924,31.5,201.5,38.60869688301329,18.863,0.03707136777295597,0.019954,0.19495504542979378,0.20373
1925,31.5,207.5,35.4359732879071,20.556,0.033953685539289256,0.02132,0.1935099838627608,0.18011
1926,31.5,208.5,34.8551419611482,12.451,0.03326444831695239,0.012697,0.20366223582600934,0.1784
1927,31.5,219.5,30.79278409531165,7.7216,0.028993802796917836,0.0070557,0.17117492412638755,0.1339
1928,31.5,220.5,30.33186780813906,21.84,0.028462911428150477,0.020691,0.16117929476117526,0.097186
1929,31.5,221.5,29.98501500447071,2.5299,0.028087557329230784,0.0024427,0.15297293066187803,0.043275
1930,31.5,222.5,29.785077899489515,17.294,0.02793521427470804,0.016743,0.14988593638722242,0.10175
1931,31.5,223.5,29.551088120946083,10.582,0.027743291156897644,0.010365,0.14908553139937328,0.1153
1932,31.5,226.5,28.73691707668369,11.806,0.0270201305146355,0.011688,0.1315054200990656,0.078691
1933,31.5,233.5,27.037219907974634,16.239,0.025993358720344393,0.014758,0.11624371563420977,0.079025
1934,31.5,234.5,26.500852367863104,18.023,0.02552107078931094,0.016602,0.12035550680322586,0.080407
1935,31.5,235.5,25.381725839550203,16.2,0.024411766441732492,0.01475,0.12508483625472863,0.077493
1936,31.5,279.5,54.399692479028104,60.322,0.058170433564991075,0.059944,0.3302424936382661,0.50251
1937,31.5,280.5,31.320862917318145,58.273,0.031585809434166334,0.051245,0.1437946250097456,0.42275
1938,31.5,281.5,27.996223317200343,19.925,0.02798935135660119,0.020847,0.12172011471787804,0.13241
1939,31.5,282.5,28.07527716472758,22.736,0.028067025546448618,0.023973,0.1254160398624084,0.09609
1940,31.5,284.5,29.846095206654233,32.704,0.030168728158751597,0.034408,0.12471642402420999,0.1801
1941,31.5,285.5,30.939212024436763,23.886,0.031664390494229575,0.025207,0.1251496115835606,0.19843
1942,31.5,300.5,40.54115457359445,28.182,0.03983904324987601,0.03089,0.16257343148481995,0.20458
1943,31.5,301.5,40.85184390737806,29.634,0.04007978247185485,0.031133,0.15980782297762652,0.20385
1944,31.5,311.5,44.110139449296724,13.154,0.042017012985384274,0.012287,0.1415479915696717,0.172
1945,31.5,315.5,43.54969891072925,23.196,0.04108138157967777,0.022282,0.1542738036124196,0.15789
1946,31.5,316.5,43.211979918792984,21.783,0.040647524727928944,0.021073,0.15680057767699246,0.14376
1947,31.5,317.5,42.90655086926042,7.0601,0.040344520510620305,0.0083759,0.1580763988878977,0.12001
1948,31.5,322.5,40.86039557813882,25.423,0.038292880286234385,0.02731,0.15683840168790153,0.18935
1949,31.5,323.5,40.34607193564478,21.11,0.03783244835747086,0.023035,0.15515804561053193,0.18702
1950,31.5,324.5,39.74799147318443,6.2307,0.03714419813939081,0.0048902,0.15951325802790237,0.04158
1951,31.5,325.5,39.34845974460415,8.4674,0.03666450696339,0.0086994,0.15894472344616267,0.065499
1952,31.5,328.5,37.63966941387703,31.942,0.03514104838386223,0.030481,0.13705200373358445,0.11244
1953,31.5,341.5,28.907783740893276,21.779,0.02784619495565028,0.021343,0.13829820833686532,0.10666
1954,31.5,342.5,28.766055928269985,22.857,0.027798937007051473,0.023152,0.13427155448029252,0.10237
1955,31.5,345.5,27.002459775330195,15.971,0.026134361734537776,0.016011,0.10714547905223801,0.15044
1956,31.5,348.5,20.440521720720373,14.282,0.020048212402530848,0.0147,0.11274814045990125,0.14515
1957,31.5,349.5,15.375250821485048,15.495,0.015505604549681442,0.015225,0.10509306800222348,0.18907
